blockNumber,timeStamp,hash,nonce,blockHash,transactionIndex,from,to,value,gas,gasPrice,isError,txreceipt_status,input,contractAddress,cumulativeGasUsed,gasUsed,confirmations,methodId,functionName,dfpi_scam_address
19891168,1715966759,0x6378a15e24d4c63a2f291da9c7fdde0f32c85ee921ede8cb838e65c7440943c5,0,0xea979fa451b74198d9391ed0e7f2f64e93728c18a8926f70c399cf5cb318b947,127,0x4711a44ce38c0f562432d73440d8b1b9f6bf926d,0x0bfe55cbab96ac7c9e6f2995d7be9356fc5a9639,100000000000000,21000,6270049446,0,1,0x,,16446179,21000,3970272,0x,,0x0BFE55CbaB96AC7c9e6f2995D7BE9356fC5a9639
19898343,1716053591,0xe6d460ed0e0aef69e0a1a3b108287fc4750e29ff57b567032fe3e7e9f914bacc,1,0x90caec9162ccf320054bb7ba58c46998a1b98b8f9ab4b828d5309ca204df60d7,144,0x4711a44ce38c0f562432d73440d8b1b9f6bf926d,0x0bfe55cbab96ac7c9e6f2995d7be9356fc5a9639,35600000000000000,21000,3541361733,0,1,0x,,13802938,21000,3963097,0x,,0x0BFE55CbaB96AC7c9e6f2995D7BE9356fC5a9639
19929275,1716427367,0xd9fd275651b49cdd5a5b5b2c3edff78085826d96aa572e59e9c762b77237ac05,2,0x66eff2b265e1fb70f9b4534645c0b327145307064f6364fcf6afd98f4af8f040,121,0x4711a44ce38c0f562432d73440d8b1b9f6bf926d,0x0bfe55cbab96ac7c9e6f2995d7be9356fc5a9639,9000000000000000,21000,6291689379,0,1,0x,,13699305,21000,3932165,0x,,0x0BFE55CbaB96AC7c9e6f2995D7BE9356fC5a9639
20049260,1717875659,0x5e8e0f5099b3825f5f9b7fcafcf7835f8e0875089848d79dd0dbd6955ce885bc,0,0x8f0339eb9caa4ef6be2e97156b4f29d99cba6b2a5363dd454825297b6e42f80c,75,0x0bfe55cbab96ac7c9e6f2995d7be9356fc5a9639,0xdac17f958d2ee523a2206206994597c13d831ec7,0,51126,8480640392,0,1,0xa9059cbb00000000000000000000000036190263c0ea511e9b115be86b497d0cc0a50638000000000000000000000000000000000000000000000000000000001dcd6500,,5660186,46097,3812180,0xa9059cbb,"transfer(address _to, uint256 _value)",0x0BFE55CbaB96AC7c9e6f2995D7BE9356fC5a9639
20078199,1718224883,0x1873b6772f0672de30df0597c0f9b324fd196de6ad07b788e2d541169685c3f0,419956,0x9671142ef414ee88174318e167c3dbdfa61dc31a54307b9bee444d22d88a7c1c,47,0xbbd0d4d067d5af2065b1b6fd936d93237ae1c56c,0x0bfe55cbab96ac7c9e6f2995d7be9356fc5a9639,344408358697773745,21000,18276361422,0,1,0x,,4620471,21000,3783241,0x,,0x0BFE55CbaB96AC7c9e6f2995D7BE9356fC5a9639
20093513,1718409887,0xaf5e287cb216ad6dd2fd19ce3e7b7208a6cb93ee393da1956f1a85f2c189ce62,1026265,0x76a6c65d220b0ac45e05746ce6636a7c04d50fba18225ed66495ddc7475069a8,45,0x264bd8291fae1d75db2c5f573b07faa6715997b5,0x0bfe55cbab96ac7c9e6f2995d7be9356fc5a9639,861912920000000000,500000,10000000000,0,1,0x,,9064594,21000,3767927,0x,,0x0BFE55CbaB96AC7c9e6f2995D7BE9356fC5a9639
20099514,1718482487,0x8dbaa814209fd8eeb92a15adb5dc9d193ae70ed789df7b90129f1e39ead65a3c,1029250,0x5e2187dd867f3b30f4b5f5b505e6c0048c654577f1345170dbde59c4e32ddeb2,24,0x264bd8291fae1d75db2c5f573b07faa6715997b5,0x0bfe55cbab96ac7c9e6f2995d7be9356fc5a9639,422567350000000000,500000,10000000000,0,1,0x,,3008718,21000,3761926,0x,,0x0BFE55CbaB96AC7c9e6f2995D7BE9356fC5a9639
20099824,1718486303,0x2c4e37d7a07dbc499f828e35241eb6d6d1240759fce2f82726d7dd3bf3070ec7,1,0xadf634b71548a8974e72349bb560d05bbdb5233df1099d32d4efc85727bb1fc6,119,0x0bfe55cbab96ac7c9e6f2995d7be9356fc5a9639,0xdac17f958d2ee523a2206206994597c13d831ec7,0,51126,3059157574,0,1,0xa9059cbb00000000000000000000000036190263c0ea511e9b115be86b497d0cc0a5063800000000000000000000000000000000000000000000000000000000e8754700,,10270578,46097,3761616,0xa9059cbb,"transfer(address _to, uint256 _value)",0x0BFE55CbaB96AC7c9e6f2995D7BE9356fC5a9639
20292881,1720816907,0xa5a7a76994f1a68b15bddf6734732fe9fe7b84428fd29908266feabb3e0e95e6,11756688,0x7a908214f10b9169fdf5db361e16f346464f0c75556575a34430af66ba6dd57c,150,0x46340b20830761efd32832a74d7169b29feb9758,0x0bfe55cbab96ac7c9e6f2995d7be9356fc5a9639,154179479035072000,350000,2717392392,0,1,0x,,15681431,21000,3568559,0x,,0x0BFE55CbaB96AC7c9e6f2995D7BE9356fC5a9639
20294248,1720833419,0xe49b06e3b9655733b00671aecf2e915be6c71d99e3111250ecffb6f4b3564dc8,11758177,0x9505387a0b78eb8b0e66ec3be75ff5d7c545dfb9d6c47f2469b27b1c5f63fc5c,99,0x46340b20830761efd32832a74d7169b29feb9758,0x0bfe55cbab96ac7c9e6f2995d7be9356fc5a9639,3131300000000000000,350000,3525583492,0,1,0x,,11822943,21000,3567192,0x,,0x0BFE55CbaB96AC7c9e6f2995D7BE9356fC5a9639
