blockNumber,timeStamp,hash,nonce,blockHash,transactionIndex,from,to,value,gas,gasPrice,isError,txreceipt_status,input,contractAddress,cumulativeGasUsed,gasUsed,confirmations,methodId,functionName,dfpi_scam_address
19063284,1705938875,0x91d7587b18a7e5d12d1dc7215debc3a3caedb5ccfda9ed846f1ab10382762e3a,0,0xafb8f312b47a51a80b192e0a1065019907d7897a023a6e8318d861298bc0df56,57,0x7630b16b5456075a2b8474b94e7950a917a251b9,0x6dfbdcadf54df4c29c6bf34fedd24d27096f245d,29329224064320425,21000,25273081240,0,1,0x,,5948867,21000,4798158,0x,,0x6DfbdCadf54dF4c29C6BF34fedD24d27096f245D
19071129,1706034203,0x1e81d71099e0b3ad9b7fa67492e291976a836bcbee70e21b67b16ec21f24626a,2,0xe90ac086200be23bcbc1a86126edb9b85b9979253c5923a3701af1746059db53,50,0x7630b16b5456075a2b8474b94e7950a917a251b9,0x6dfbdcadf54df4c29c6bf34fedd24d27096f245d,320709781720000753,21000,17796210498,0,1,0x,,12007906,21000,4790313,0x,,0x6DfbdCadf54dF4c29C6BF34fedD24d27096f245D
19079573,1706136503,0x7500efd2a10cd2156628336e6ec9c6ddeed682002085e4efe3316c0af9c04763,1,0x2e07a9aa13a87eb4679187084a970d43921eb4340f5c7ddbdbda222e79a4b92c,61,0xbc66415167018433293bfff2ce34d3e6c6f295da,0x6dfbdcadf54df4c29c6bf34fedd24d27096f245d,12547153745389802,21000,9799798064,0,1,0x,,3865078,21000,4781869,0x,,0x6DfbdCadf54dF4c29C6BF34fedD24d27096f245D
19114576,1706560247,0x394efa7a869de1ca03ad2a8d9fb387d0d66dfc4cbd726cb39cde6cd8c47fbcf9,1,0xd0a6a46d75e0f9320d3fe0a6694a18c81e42d6335d2f4853efde50c89d48c7b3,159,0xd776890e09e11fa7bd741d2f06667736d8891f9f,0x6dfbdcadf54df4c29c6bf34fedd24d27096f245d,62000000000000000,21000,13493162338,0,1,0x,,8886895,21000,4746866,0x,,0x6DfbdCadf54dF4c29C6BF34fedD24d27096f245D
19144074,1706917631,0x07b3f12e87eab0f4865dd8466b7181fdf781420ebeb85263eb53fe443f50e762,4,0x069f390bcdbd8a5ba7fa51b688c5b1fe8de7d11596ae62882665dc62451a9e83,66,0x7630b16b5456075a2b8474b94e7950a917a251b9,0x6dfbdcadf54df4c29c6bf34fedd24d27096f245d,298164829420359700,21000,14000000000,0,1,0x,,4694552,21000,4717368,0x,,0x6DfbdCadf54dF4c29C6BF34fedD24d27096f245D
19146455,1706946635,0x0cdcbbf7bdf922e85d3276da373e6153b4f4b126cdbe2cf3dbe0fe80d65f30f1,0,0xfec3cedc9ef7e1d405b1fbe7f4d152ea753fca2baba466f7b368520fb8ac9e48,82,0x6dfbdcadf54df4c29c6bf34fedd24d27096f245d,0xdac17f958d2ee523a2206206994597c13d831ec7,0,69543,16684653951,0,1,0xa9059cbb0000000000000000000000003f5d038a24d314dacb2cb9403ce09ebf8d95271c000000000000000000000000000000000000000000000000000000039d0b4c73,,4283189,58421,4714987,0xa9059cbb,"transfer(address _to, uint256 _value)",0x6DfbdCadf54dF4c29C6BF34fedD24d27096f245D
19220772,1707847859,0x6f8236ad989a9f69c33558dff62cd7510ee81869938dd8af5d54471b73216a62,1,0xbef90bb137f787901ba623ba507770104c88c967935ea39dd14328319a1bea1a,102,0x6dfbdcadf54df4c29c6bf34fedd24d27096f245d,0x7630b16b5456075a2b8474b94e7950a917a251b9,2940000000000000,21000,39428957790,0,1,0x,,12378262,21000,4640670,0x,,0x6DfbdCadf54dF4c29C6BF34fedD24d27096f245D
19220822,1707848459,0x40b9b1db8d5ac6b335b38d61dc4bdc9738d1a5d7fa2f14b311d8b29cf719b296,2,0xa22f2a679a06c83e00476bca34334d1f9ad897aebd9743fb6f5686b6f0fd75be,71,0x6dfbdcadf54df4c29c6bf34fedd24d27096f245d,0xdac17f958d2ee523a2206206994597c13d831ec7,0,69516,31093587797,0,1,0xa9059cbb00000000000000000000000078d64795336703c2cfd447a3bb2a22e0b521f28e0000000000000000000000000000000000000000000000000000000017d78400,,12817844,63197,4640620,0xa9059cbb,"transfer(address _to, uint256 _value)",0x6DfbdCadf54dF4c29C6BF34fedD24d27096f245D
19227362,1707927767,0xb915a3ee7f10450c28ae8304b58342d205a2412346f389a52717f3c21914260e,6,0xb1e19411d3bd8da96b3aa104d7037270db15bea7f88fa6894fd75ebbd2ede28d,41,0x7630b16b5456075a2b8474b94e7950a917a251b9,0x6dfbdcadf54df4c29c6bf34fedd24d27096f245d,700000000000000000,21000,37644192539,0,1,0x,,6052438,21000,4634080,0x,,0x6DfbdCadf54dF4c29C6BF34fedD24d27096f245D
19231535,1707978395,0x1804c6be446689ded1a76a5420a7368d3ba8ce879005ddbba71de81785866879,3,0x3b4705771705e1e32052c0d4214e0686b62bc325f45d00abac272d8a7b34e078,93,0x6dfbdcadf54df4c29c6bf34fedd24d27096f245d,0x7630b16b5456075a2b8474b94e7950a917a251b9,10000000000000000,21000,19992301933,0,1,0x,,9042964,21000,4629907,0x,,0x6DfbdCadf54dF4c29C6BF34fedD24d27096f245D
19242627,1708112843,0xdeb933b8fadd2db8fa585c4e680dc37dd7ec804976c7f5ec548da74ff053c28b,931378,0x1575afac0d44937819aaef4717a13a09ce2edf1fc2ab47c1a0d864a092f91521,83,0x6081258689a75d253d87ce902a8de3887239fe80,0x6dfbdcadf54df4c29c6bf34fedd24d27096f245d,100000000000000000,21000,24485913729,0,1,0x,,6012080,21000,4618815,0x,,0x6DfbdCadf54dF4c29C6BF34fedD24d27096f245D
19250228,1708205075,0x4c842a8fd6f141239c24b717e2562a26f6fd6efce8872dc7797eb4617274db27,933749,0xcfe766fffe51da1c9d8a2138c07174f3089d43d7cf73e28f50db0ac94d4f2948,122,0x6081258689a75d253d87ce902a8de3887239fe80,0x6dfbdcadf54df4c29c6bf34fedd24d27096f245d,573368567850000000,21000,18166550000,0,1,0x,,15969291,21000,4611214,0x,,0x6DfbdCadf54dF4c29C6BF34fedD24d27096f245D
19338723,1709276783,0xdc2bd6fd9f101ca9fb07617e975f986c167cd8e2ee1d317b09d67ac72e897b00,4,0x1b89620af5a7318f311b20ff476c3f7e335922e1ff269284f431eb8c68226e6a,141,0x6dfbdcadf54df4c29c6bf34fedd24d27096f245d,0xdac17f958d2ee523a2206206994597c13d831ec7,0,69543,37847269490,0,1,0xa9059cbb0000000000000000000000003f5d038a24d314dacb2cb9403ce09ebf8d95271c000000000000000000000000000000000000000000000000000000095c41a868,,8830250,58421,4522719,0xa9059cbb,"transfer(address _to, uint256 _value)",0x6DfbdCadf54dF4c29C6BF34fedD24d27096f245D
19338734,1709276915,0xd733ecf3e977ecda1be3c82fe59460d0f5a949202c2eafccc6720ff552308ea0,5,0xd5b6d9dc778cda0ad76bc6c44d7c7c400a5ec0e949b4292a000d1e78fada06a5,87,0x6dfbdcadf54df4c29c6bf34fedd24d27096f245d,0x3f5d038a24d314dacb2cb9403ce09ebf8d95271c,2075767824497682010,21000,48240708612,0,1,0x,,11675123,21000,4522708,0x,,0x6DfbdCadf54dF4c29C6BF34fedD24d27096f245D
19623644,1712732927,0x5548be50a4f991058e535359c41dfca0573cf7a13b7147e9335cd61b731c7e20,6195581,0xca3f2b91fa4a0042aca112bcd9920596a2ac16ef5ec393b2a4502b0c3c563c84,87,0x9696f59e4d72e237be84ffd425dcad154bf96976,0x6dfbdcadf54df4c29c6bf34fedd24d27096f245d,7200000000000000,207128,17509396297,0,1,0x,,10099089,21000,4237798,0x,,0x6DfbdCadf54dF4c29C6BF34fedD24d27096f245D
